id,title,description,link,image_link,additional_image_link,price,sale_price,availability,brand,condition,product_type,google_product_category,gtin,mpn,item_group_id,color,size,age_group,gender,material,pattern,shipping_weight
"186166","210D Oxford Cloth 1000L IBC Water Tank Sunscreen Dust Cover","1. Material: 210D Oxford cloth 2. Size: 120x100x116cm 3. Ideal for use with IBC tanks 4. Durable and anti-rot. 5. UV stabilized, possible to fill and...","https://luxtronics.in/product/home-garden-210d-oxford-cloth-1000l-ibc-186166","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3028B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3028_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3028_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3028_B3.jpg","1533.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","OG3028","186166","Black","","adult","unisex","","",""
"186177","Electric Scooter Dustproof and Anti-ultraviolet Protective Cover, Size:","1. Material: polyester 2. Size: 140x66x91cm 3. Ideal for use with electric scooters 4. Durable and anti-rot. 5. Waterproof, UV-proof and dust-proof....","https://luxtronics.in/product/home-garden-electric-scooter-dustproof-anti-ultraviolet-186177","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3032B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3032B_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3032B_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3032B_3.jpg","1293.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","OG3032","186177","","","adult","unisex","","",""
"186184","Electric Scooter Dustproof and Anti-ultraviolet Protective Cover, Size:","1. Material: polyester 2. Size: 170x61x117cm 3. Ideal for use with electric scooters 4. Durable and anti-rot. 5. Waterproof, UV-proof and dust-proof....","https://luxtronics.in/product/home-garden-electric-scooter-dustproof-anti-ultraviolet-186184","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3033B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3033B_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3033B_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3033B_3.jpg","1345.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","OG3033","186184","","","adult","unisex","","",""
"186191","Retractable Roller Blind Awning Waterproof and Dustproof Protective","1. Material: Oxford cloth 2. Length: 2.5m 3. Suitable for outdoor patio canopy awning 4. Durable and anti-rot. 5. Waterproof and dustproof Specification:...","https://luxtronics.in/product/home-garden-retractable-roller-blind-awning-waterproof-186191","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3036B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3036_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3036_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3036_B3.jpg","1713.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","OG3036","186191","Black","","adult","unisex","","",""
"186202","Retractable Roller Blind Awning Waterproof and Dustproof Protective","1. Material: Oxford cloth 2. Length: 3m 3. Suitable for outdoor patio canopy awning 4. Durable and anti-rot. 5. Waterproof and dustproof Specification:...","https://luxtronics.in/product/home-garden-retractable-roller-blind-awning-waterproof-186202","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3039B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3039_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3039_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3039_B3.jpg","1910.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","OG3039","186202","Black","","adult","unisex","","",""
"186213","Retractable Roller Blind Awning Waterproof and Dustproof Protective","1. Material: Oxford cloth 2. Length: 5m 3. Suitable for outdoor patio canopy awning 4. Durable and anti-rot. 5. Waterproof and dustproof Specification:...","https://luxtronics.in/product/home-garden-retractable-roller-blind-awning-waterproof-186213","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3057B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3057_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3057_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3057_B3.jpg","3088.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","OG3057","186213","Black","","adult","unisex","","",""
"186225","210D Oxford Cloth Outdoor Drying Rack Dustproof and Waterproof","1. Material: 210D Oxford cloth 2. Suitable for umbrella drying rack, clothes rack, etc. 3. Easy to store and does not take up space. 4. Dustproof and...","https://luxtronics.in/product/home-garden-210d-oxford-cloth-outdoor-drying-186225","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3072B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3072_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3072_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3072_B3.jpg","1000.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","OG3072","186225","Black","","adult","unisex","","",""
"186234","Treadmill Fitness Equipment Folding Dust Cover, Size: 95x75x160cm","1. Material: Oxford cloth 2. Suitable for treadmills, joggers and other fitness equipment. 3. Easy to store and does not take up space. 4. Dustproof and...","https://luxtronics.in/product/home-garden-treadmill-fitness-equipment-folding-dust-186234","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3090B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3090_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3090_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3090_B3.jpg","3050.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","OG3090","186234","Black","","adult","unisex","","",""
"186246","Home Quilt Clothes Travel Nylon Draw Cord Smile Face Pattern Arrange","1. Help to protect your quilt against water, moisture, bugs, mildew and dust. 2. Adopt high quality nylon cloth, durable and waterproof. 3. Suitable for...","https://luxtronics.in/product/home-garden-home-quilt-clothes-travel-nylon-186246","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3880H.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3880H_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3880H_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG3880H_3.jpg","725.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","OG3880","186246","Grey","","adult","unisex","","",""
"186257","3D Puzzle Transparent Money Maze Bank Saving Coin Gift Box, 3D Puzzle","1) The money maze is a great combination of a challenging puzzle and an intriguing bank 2) It's easy to make a deposit, but just try to make a withdrawal....","https://luxtronics.in/product/home-garden-3d-puzzle-transparent-money-maze-186257","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-2417W.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-2417W_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-2417W_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-2417W_3.jpg","328.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","S-CA-2417","186257","Baby Blue","","adult","unisex","","",""
