Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"WK WU-09 Cinsuy 65W Type-C Single Port GaN Charger, EU Plug","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA009507601A.jpg","GaN Chargers","","1. Material: PC 2. Output Interface: Type-C 3. Input: 110-240V, 50/60Hz, 1.8A (Max) 4. Output: 5V 3A/9V 3A/12V 3A/15V 3A/20V 3.25A 5. Maximum 65W output...","https://luxtronics.in/product/mobile-accessories-wk-wu-09-cinsuy-65w-181529","","wk wu-09 cinsuy 65w type-c single port gan charger, eu plug, eda0095076, mobile accessories, mobile-accessories, luxtronics, online shopping"
"P3 148W USB-A and USB-C / Type-C Quad-Port AI Smart Display GaN Fast","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA009066001A.jpg","GaN Chargers","","1. 148W Ultra-High Power: Gallium nitride technology, it offers higher energy density, with a single port output of up to 140W, providing fast charging...","https://luxtronics.in/product/mobile-accessories-p3-148w-usb-type-181420","","p3 148w usb-a and usb-c / type-c quad-port ai smart display gan fast, eda0090660, mobile accessories, mobile-accessories, luxtronics, online shopping"
"Havit UC250 35W 3 in 1 GaN Travel Charger with Type-C Retractable","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA008946501A.jpg","GaN Chargers","","1. Material: ABS+PC 2. Input: 110-240V, 50/60Hz, 1A 3. Type-C Output: 5V/3A, 9V/3A, 12V/2.92A, 15V/2.33A, 20V/1.75A 4. Type-C Output: 5V/3A, 9V/2A,...","https://luxtronics.in/product/mobile-accessories-havit-uc250-35w-in-gan-181371","","havit uc250 35w 3 in 1 gan travel charger with type-c retractable, eda0089465, mobile accessories, mobile-accessories, luxtronics, online shopping"
"USAMS T70 CC330 40W Dual USB-A and Dual USB-C / Type-C 4-Port GaN Fast","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA008969801A.jpg","GaN Chargers","","1. Supports simultaneous charging of four devices, adapting to various charging power levels for fast charging without waiting. 2. Utilizes GaN charging...","https://luxtronics.in/product/mobile-accessories-usams-t70-cc330-40w-dual-181385","","usams t70 cc330 40w dual usb-a and dual usb-c / type-c 4-port gan fast, eda0089698, mobile accessories, mobile-accessories, luxtronics, online shopping"
"USAMS CC331 T70 40W Dual USB-A and Dual USB-C / Type-C 4-Port GaN Fast","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA008983601A.jpg","GaN Chargers","","1. Supports simultaneous charging of four devices, adapting to various charging power levels for fast charging without waiting. 2. Utilizes GaN charging...","https://luxtronics.in/product/mobile-accessories-usams-cc331-t70-40w-dual-181398","","usams cc331 t70 40w dual usb-a and dual usb-c / type-c 4-port gan fast, eda0089836, mobile accessories, mobile-accessories, luxtronics, online shopping"
"USAMS CC332 T70 40W Dual USB-A and Dual USB-C / Type-C 4-Port GaN Fast","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA008983801A.jpg","GaN Chargers","","1. Supports simultaneous charging of four devices, adapting to various charging power levels for fast charging without waiting. 2. Utilizes GaN charging...","https://luxtronics.in/product/mobile-accessories-usams-cc332-t70-40w-dual-181411","","usams cc332 t70 40w dual usb-a and dual usb-c / type-c 4-port gan fast, eda0089838, mobile accessories, mobile-accessories, luxtronics, online shopping"
"REMAX CA09 PD30W Type-C GaN Fast Charger, EU Plug","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA008306001A.jpg","GaN Chargers","","1. Gallium nitride technology, low temperature fast charging. 2. Intelligent identification type, automatic adjustment of charging current. 3. Type-C...","https://luxtronics.in/product/mobile-accessories-remax-ca09-pd30w-type-gan-181340","","remax ca09 pd30w type-c gan fast charger, eu plug, eda0083060, mobile accessories, mobile-accessories, luxtronics, online shopping"
"65W GAN PD + QC3.0 Fast Charger Phone Notebook Computer Universal","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603826601.jpg","GaN Chargers","","1. Dual port fast charging, support charging two devices at the same time 2. Supports fast charging protocols for most cell phones 3. 65W high power,...","https://luxtronics.in/product/mobile-accessories-65w-gan-pd-qc3-fast-181132","","65w gan pd + qc3.0 fast charger phone notebook computer universal, tbd06038266, mobile accessories, mobile-accessories, luxtronics, online shopping"
"65W GaN Mobile Phone Charger PD Fast Charge Computer Adapter, Black EU","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603826401.jpg","GaN Chargers","","1. Material: PC+ABS fireproof material 2. Input voltage: 100-240V 50/60HZ 0.5A 3. Input plug: American/European/UK/Korean/Australian 4. Voltage and...","https://luxtronics.in/product/mobile-accessories-65w-gan-mobile-phone-charger-181160","","65w gan mobile phone charger pd fast charge computer adapter, black eu, tbd06038264, mobile accessories, mobile-accessories, luxtronics, online shopping"
"Havit UC252 65W 3 in 1 GaN Travel Charger with Type-C Retractable","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EDA008947301A.jpg","GaN Chargers","","1. Material: ABS+PC 2. Input: 110-240V, 50/60Hz, 1.5A 3. Type-C Output: 5V/3A, 9V/3A, 12V/3A, 15V/3A, 20V/3.25A 4. Type-C Output: 5V/3A, 9V/3A, 12V/3A,...","https://luxtronics.in/product/chargers-cables-havit-uc252-65w-in-gan-56263","","havit uc252 65w 3 in 1 gan travel charger with type-c retractable, eda0089473-1, chargers & cables, chargers-cables, luxtronics, online shopping"
